YS (MPa),UTS (MPa),K (Mpa),n,Lankford anisotropy coefficient (r),Category,Thickness,"Tool diameter (A, mm)","Step size (B, mm)",Spindle Speed (rpm),"Feed rate (D, mm/min)",Surface roughness (SR),Wall Angle (degree,r/h or l/h,Links,tool dia>5,tool dia>5 and n>0.11,,Category
205,515,1275,0.45,1.6,Hexagon with constant angle,1,10,0.3,1200,200,2.2,45,1.9016,https://pdf.sciencedirectassets.com/305927/1-s2.0-S2214785322X00370/1-s2.0-S221478532200918X/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEHQaCXVzLWVhc3QtMSJGMEQCIHxlqAchOwCir3wAqsUuGAG9zNOIxGiszK66xIFbgVfcAiA8VPgBVAagtOcIzu8%2FEwWB%2FqadVnYn3Xm7Dr2sGOR5WCq8BQjt%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F8BEAUaDDA1OTAwMzU0Njg2NSIMRp48bDX7m%2F2RkBNsKpAF9zkb8njMLBRUvFcXQuN%2F0oIpLQODQMAZfzkQxXjc%2B7ypBAFCrUNl9kvJu1qIpUoKfhwjnLfIRo7L5GyLp7NdUnbf4OobLMFBYQXOeEq6Fc7nwoJnKi4DZ%2FcGdpjy%2BE80pCQY0qq8wivG%2FKcPjr4SmeFTpmzbec5Ylkr1jLbLkLS3At%2BOEVesqPBrtTVlrTVshQL7jwrQjLf7diEBZfzeCexFym6TPT2hi6cPkhQHeexohqowH9xeCDkt8hyUkQhp2t3plP89S3hgw1m%2BdHcrfYSZQGxOYzdYsUuKmHNdCvOpX2kRyx90VxGzMAme69uOtn8XOfDVf1dtAWOhvz70rnKQnOz8WGJhAEB6EqW1MXGF%2Fserfjebe9znswmNIvY%2FRkia%2F94gvopNbJh1cuqxlgydQXyXcul1f1sWbdjJhZAQyiNfMNsodzF4zFKmOu%2F9TqfM0LUgh2P0CNvngr9aBrJEhSnpalHpsVElrvEPBKNzxji99k4rTcUeLCb175dyESz31B5WXcZqr%2BHiB%2Bn1OtgaO%2FVNivN1E42W0bzXttHZBDoijg7s85et0uJZD7z9v43vQdNcLGyJUoIYgIs7HBf6TzoMYeVFqUZTyUOCVYi988J0pxgu6zzO%2BG6av60a8H6IcZGLxgy9vHz4kMfTlx73uo6RSGhgYj6zi8Ss84KHEGG24xnICgQg1ejM5mG5AK9BT9F45clMQh1VYF0%2B0SwNe2KBcWGcp82995aD5Z91f0gFt1tZXcUAxM3q0UGTP5wlAS5JIEjqS8j4KvGgoafkeCRtSvM3za%2Fp5KnLhEvf1Pw1NAof%2BAzOVc4gjM0%2FVrXpiOsvALRyn5qHQd8O7zNQnLr0a6DY%2BX%2FRGVV0m2swvv%2FWsgY6sgGMqvjAufJ0HvNK9TsGhlTl%2FfuMlp97lm9LU9L32k3fGH2yD2FB8x16tg8rh7YnyX%2B1uDz27PvVRBbRwKRLa%2FVXGRFPi52CoavgTwMgoVnoQPgzZNyg7GYGSy5AvCTFgf9eSINw6WqVQufk7aaOFTq4MGvL0nfwRz%2FXTrYtcB5jQktvWXuTovr3fHb2O7MKPpG5uYOQP7ohlRQbOQw0T6kHxH49ckvsKnAxu91GZgaG7edD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20240528T130044Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYYRM6O6TG%2F20240528%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=af2a5b77142a420e8db1d806ada179de07a92f72cadb9e9797f3e42ce700d472&hash=46d1b0d002517f81c7ec9b394374b0da0b0624127e3e93b519c5998bb083f531&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S221478532200918X&tid=spdf-bb101288-cf68-42e0-bd98-dd04884cb9ec&sid=ed5991f26d2aa342ba-ba84-d4c38695a840gxrqb&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=0d095e590302590b0b&rr=88ae6de6bf4d33a8&cc=in,,,,
205,515,1275,0.45,1.6,Hexagon with constant angle,1,10,0.3,1350,300,3.3,45,3.08,,,,,
205,515,1275,0.45,1.6,Hexagon with constant angle,1,10,0.3,1500,400,1.8,45,3.08,,,,,
205,515,1275,0.45,1.6,Hexagon with constant angle,1,10,0.4,1350,200,2.9,45,3.08,,,,,
205,515,1275,0.45,1.6,Hexagon with constant angle,1,10,0.4,1500,300,3.05,45,3.08,,,,,
205,515,1275,0.45,1.6,Hexagon with constant angle,1,10,0.4,1200,400,2.5,45,3.08,,,,,
205,515,1275,0.45,1.6,Hexagon with constant angle,1,10,0.5,1500,200,2.8,45,3.08,,,,,
205,515,1275,0.45,1.6,Hexagon with constant angle,1,10,0.5,1200,300,3,45,3.08,,,,,
205,515,1275,0.45,1.6,Hexagon with constant angle,1,10,0.5,1350,400,3.1,45,3.08,,,,,
167.47,208.85,235,0.11,0.81,truncated cone with constant angle,0.5,4,0.2,500,1000,0.755,28.8,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7914686/,,,,
167.47,208.85,235,0.11,0.81,truncated cone with constant angle,0.5,6,0.2,500,1000,1.69,29,2,,,,,
167.47,208.85,235,0.11,0.81,truncated cone with constant angle,0.5,4,0.8,500,1000,2.08,31.1,2,,,,,
167.47,208.85,235,0.11,0.81,truncated cone with constant angle,0.5,6,0.8,500,1000,1.07,30,2,,,,,
167.47,208.85,235,0.11,0.81,truncated cone with constant angle,0.5,4,0.2,500,3000,0.82,29.8,2,,,,,
167.47,208.85,235,0.11,0.81,truncated cone with constant angle,0.5,6,0.2,500,3000,1.29,29.2,2,,,,,
167.47,208.85,235,0.11,0.81,truncated cone with constant angle,0.5,4,0.8,500,3000,1.395,28.9,2,,,,,
167.47,208.85,235,0.11,0.81,truncated cone with constant angle,0.5,6,0.8,500,3000,0.88,29,2,,,,,
167.47,208.85,235,0.11,0.81,truncated cone with constant angle,0.5,4,0.5,500,2000,0.788,29.7,2,,,,,
167.47,208.85,235,0.11,0.81,truncated cone with constant angle,0.5,6,0.5,500,2000,1.19,29.8,2,,,,,
167.47,208.85,235,0.11,0.81,truncated cone with constant angle,0.5,5,0.2,500,2000,0.88,29.8,2,,,,,
167.47,208.85,235,0.11,0.81,truncated cone with constant angle,0.5,5,0.8,500,2000,1.5,29.8,2,,,,,
167.47,208.85,235,0.11,0.81,truncated cone with constant angle,0.5,5,0.5,500,1000,0.93,31,2,,,,,
167.47,208.85,235,0.11,0.81,truncated cone with constant angle,0.5,5,0.5,500,3000,1.14,30,2,,,,,
167.47,208.85,235,0.11,0.81,truncated cone with constant angle,0.5,5,0.5,500,2000,0.99,31.5,2,,,,,
167.47,208.85,235,0.11,0.81,truncated cone with constant angle,0.5,4,0.2,500,1000,0.516,59,2,,,,,
167.47,208.85,235,0.11,0.81,truncated cone with constant angle,0.5,6,0.2,500,1000,1.09,57.7,2,,,,,
167.47,208.85,235,0.11,0.81,truncated cone with constant angle,0.5,4,0.8,500,1000,1.61,61.8,2,,,,,
167.47,208.85,235,0.11,0.81,truncated cone with constant angle,0.5,6,0.8,500,1000,1.31,58.2,2,,,,,
167.47,208.85,235,0.11,0.81,truncated cone with constant angle,0.5,4,0.2,500,3000,0.498,58.7,2,,,,,
167.47,208.85,235,0.11,0.81,truncated cone with constant angle,0.5,6,0.2,500,3000,1.463,60,2,,,,,
167.47,208.85,235,0.11,0.81,truncated cone with constant angle,0.5,4,0.8,500,3000,1.86,59.5,2,,,,,
167.47,208.85,235,0.11,0.81,truncated cone with constant angle,0.5,6,0.8,500,3000,1.06,61.5,2,,,,,
167.47,208.85,235,0.11,0.81,truncated cone with constant angle,0.5,4,0.5,500,2000,0.507,59.5,2,,,,,
167.47,208.85,235,0.11,0.81,truncated cone with constant angle,0.5,6,0.5,500,2000,1.01,57.2,2,,,,,
167.47,208.85,235,0.11,0.81,truncated cone with constant angle,0.5,5,0.2,500,2000,0.488,59.6,2,,,,,
167.47,208.85,235,0.11,0.81,truncated cone with constant angle,0.5,5,0.8,500,2000,1.41,59.2,2,,,,,
167.47,208.85,235,0.11,0.81,truncated cone with constant angle,0.5,5,0.5,500,1000,1.647,59,2,,,,,
167.47,208.85,235,0.11,0.81,truncated cone with constant angle,0.5,5,0.5,500,3000,1.23,62,2,,,,,
167.47,208.85,235,0.11,0.81,truncated cone with constant angle,0.5,5,0.5,500,2000,1.32,58.7,2,,,,,
108,117.5,146.9,0.3,0.7,truncated cone with constant angle,1,20,0.5,2000,1000,0.55,60,1,,,,,
108,117.5,146.9,0.3,0.7,truncated cone with constant angle,1,10,1,2000,500,1.75,60,1,,,,,
108,117.5,146.9,0.3,0.7,truncated cone with constant angle,1,20,1,2000,500,0.68,60,1,,,,,
108,117.5,146.9,0.3,0.7,truncated cone with constant angle,1,10,1,2000,500,2.1,60,1,,,,,
108,117.5,146.9,0.3,0.7,truncated cone with constant angle,1,20,0.5,2000,500,0.55,60,1,,,,,
108,117.5,146.9,0.3,0.7,truncated cone with constant angle,1,10,1,2000,500,2.08,60,1,,,,,
108,117.5,146.9,0.3,0.7,truncated cone with constant angle,1,20,0.5,2000,500,0.4,60,1,,,,,
108,117.5,146.9,0.3,0.7,truncated cone with constant angle,1,10,0.5,2000,1000,1.98,60,1,,,,,
108,117.5,146.9,0.3,0.7,truncated cone with constant angle,1,20,0.5,2000,1000,0.43,60,1,,,,,
108,117.5,146.9,0.3,0.7,truncated cone with constant angle,1,10,1,2000,1000,2.3,60,1,,,,,
108,117.5,146.9,0.3,0.7,truncated cone with constant angle,1,10,0.5,2000,500,1.4,60,1,,,,,
108,117.5,146.9,0.3,0.7,truncated cone with constant angle,1,10,0.5,2000,1000,2.1,60,1,,,,,
108,117.5,146.9,0.3,0.7,truncated cone with constant angle,1,10,0.5,2000,500,1.45,60,1,,,,,
108,117.5,146.9,0.3,0.7,truncated cone with constant angle,1,20,1,2000,1000,0.65,60,1,,,,,
108,117.5,146.9,0.3,0.7,truncated cone with constant angle,1,20,0.5,2000,500,0.6,60,1,,,,,
108,117.5,146.9,0.3,0.7,truncated cone with constant angle,1,20,0.5,2000,1000,0.53,60,1,,,,,
108,117.5,146.9,0.3,0.7,truncated cone with constant angle,1,10,0.5,2000,1000,2.3,60,1,,,,,
108,117.5,146.9,0.3,0.7,truncated cone with constant angle,1,20,0.5,2000,500,0.58,60,1,,,,,
108,117.5,146.9,0.3,0.7,truncated cone with constant angle,1,10,1,2000,500,1.98,60,1,,,,,
108,117.5,146.9,0.3,0.7,truncated cone with constant angle,1,20,1,2000,1000,0.4,60,1,,,,,
108,117.5,146.9,0.3,0.7,truncated cone with constant angle,1,10,0.5,2000,500,2.35,60,1,,,,,
108,117.5,146.9,0.3,0.7,truncated cone with constant angle,1,10,0.5,2000,1000,2.5,60,1,,,,,
108,117.5,146.9,0.3,0.7,truncated cone with constant angle,1,10,1,2000,1000,1.88,60,1,,,,,
108,117.5,146.9,0.3,0.7,truncated cone with constant angle,1,20,1,2000,1000,0.7,60,1,,,,,
108,117.5,146.9,0.3,0.7,truncated cone with constant angle,1,20,1,2000,500,0.4,60,1,,,,,
108,117.5,146.9,0.3,0.7,truncated cone with constant angle,1,20,0.5,2000,1000,0.43,60,1,,,,,
108,117.5,146.9,0.3,0.7,truncated cone with constant angle,1,20,1,2000,500,0.4,60,1,,,,,
108,117.5,146.9,0.3,0.7,truncated cone with constant angle,1,20,1,2000,1000,0.43,60,1,,,,,
108,117.5,146.9,0.3,0.7,truncated cone with constant angle,1,20,1,2000,500,0.9,60,1,,,,,
108,117.5,146.9,0.3,0.7,truncated cone with constant angle,1,10,1,2000,1000,2.03,60,1,,,,,
108,117.5,146.9,0.3,0.7,truncated cone with constant angle,1,10,1,2000,1000,1.88,60,1,,,,,
108,117.5,146.9,0.3,0.7,truncated cone with constant angle,1,10,0.5,2000,500,2.25,60,1,,,,,
173,311,619,0.24,1.8,truncated cone with constant angle,0.5,8,0.2,1000,700,0.6533,45,2.5,https://www.researchgate.net/profile/Rahul-Jagtap/publication/324233365_An_Experimental_Study_on_the_Effect_of_Process_Parameters_on_Surface_Roughness_in_Single_Point_Incremental_Forming/links/5b680f12299bf1b9303cac6a/An-Experimental-Study-on-the-Effect-of-Process-Parameters-on-Surface-Roughness-in-Single-Point-Incremental-Forming.pdf,,,,
173,311,619,0.24,1.8,truncated cone with constant angle,0.5,12,0.2,1000,700,0.3193,45,2.5,,,,,
173,311,619,0.24,1.8,truncated cone with constant angle,0.5,8,0.5,1000,700,1.1546,45,2.5,,,,,
173,311,619,0.24,1.8,truncated cone with constant angle,0.5,12,0.5,1000,700,0.6866,45,2.5,,,,,
173,311,619,0.24,1.8,truncated cone with constant angle,0.5,8,0.2,1000,1300,0.7523,45,2.5,,,,,
173,311,619,0.24,1.8,truncated cone with constant angle,0.5,12,0.2,1000,1300,0.3856,45,2.5,,,,,
173,311,619,0.24,1.8,truncated cone with constant angle,0.5,8,0.5,1000,1300,1.111,45,2.5,,,,,
173,311,619,0.24,1.8,truncated cone with constant angle,0.5,12,0.5,1000,1300,0.6523,45,2.5,,,,,
173,311,619,0.24,1.8,truncated cone with constant angle,0.5,8,0.2,2000,700,0.9026,45,2.5,,,,,
173,311,619,0.24,1.8,truncated cone with constant angle,0.5,12,0.2,2000,700,0.324,45,2.5,,,,,
173,311,619,0.24,1.8,truncated cone with constant angle,0.5,8,0.5,2000,700,1.1643,45,2.5,,,,,
173,311,619,0.24,1.8,truncated cone with constant angle,0.5,12,0.5,2000,700,0.697,45,2.5,,,,,
173,311,619,0.24,1.8,truncated cone with constant angle,0.5,8,0.2,2000,1300,0.6723,45,2.5,,,,,
173,311,619,0.24,1.8,truncated cone with constant angle,0.5,12,0.2,2000,1300,0.292,45,2.5,,,,,
173,311,619,0.24,1.8,truncated cone with constant angle,0.5,8,0.5,2000,1300,1.255,45,2.5,,,,,
173,311,619,0.24,1.8,truncated cone with constant angle,0.5,12,0.5,2000,1300,0.661,45,2.5,,,,,
41,110,180,0.2,0.58,truncated cone with constant angle,0.489,5,0.5,3500,1500,5.22,72.4,1,https://pdf.sciencedirectassets.com/278653/1-s2.0-S1877705814X00354/1-s2.0-S1877705814033244/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEDcaCXVzLWVhc3QtMSJGMEQCIDyOadJq8cXe0HsP74Ear2S0Erm4I6XSpVaARHrrAm27AiB2999wCO1FGEVWnO%2Bl%2BoMQywfrjN5Z68ewGgOwVq2x9iq8BQjQ%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F8BEAUaDDA1OTAwMzU0Njg2NSIMWPp4GGJTWTzJKx2zKpAFtHwDZD9ZPUj9qc%2FK9U8fbO6M53wfeK4vliEapzxQ2hmIlUPgVHpDC1hdGflUzz2vvA7h05UF%2FStr3n2%2BD1VfftiZFV3pW%2FcwiEOv1uNlKi3oBj83xmA%2Bcx06BnhefCfXn5G3cjONMBFOAyRtVNsEW8aATFtotQ3jxEsCnRQluVmfY0eMpC1SUne6Y%2FL08ZL6P%2FuVhbGT0ZF2Uan74C3Cm6goNq%2BZoN7qet5OVAezcdTKPBKUOLkJnSQP3jMhTC68GI5RlBB%2FaWE8uC3nvF7XxmmNXrSUqiJabM%2FuHWdjsqizASD%2FfaSXIF8usWvYygTUJyHjhefsIWzDxB%2BHtoo9de1PRTrY%2BnVuXBf6EQws0oK4nAEcO1uINUOO8E%2BQ4ilNkaHQRff8XNRhaDPm%2BUFQnUlSLhRGYd3GzGhmFBXAIKKuZSYSGQqoiXwvzFwmcCygsjGs11Hj%2BPJzoN5OOgThTNJW5%2FzelQeCv1fvg3oAPFCn91U%2FhLSHGUc%2BAfHmyxiGEiAtEZqi5C37eCShtDj%2B9CTFw3woIRpZ7c9HRXlPf0FUFveorYlBMOMie9CPtbmznmPIXqW4utiv6IMdWiUMTBNrs30yxfLufof%2BFUOYiOHTQYYsjeSsg8OVd7rZzQtEmf3zGnasCjE2zXFoJ5es5olVOrf5kPDur%2FSvaapw6woohSDznj72W%2FlhuUmWaF4%2FKelpZGcCllgI4MWiQgx%2FiOhA6CA%2FTB7Y3PGiiLlYs%2FpYIqzs4Dv1u75BJZGsc%2FwY%2BuPb%2Bb6L8V8Op43t3hAy%2FwMDicHR0x1LdVvGTCP8585RM9s%2BjKDVnZdrvqnnhyDysNo5PYkhlSOMQa%2BTBvlvB3%2Fn7cxrn6rcWCfz9RUSEIwwzZe6swY6sgGTlP%2BDWOpMHtusxRT%2FCJMoUX0fZsCRxVCc9At5ZxePytWCeCv48oznToN5mjiIppbwT9JYUCl5keRCAO%2BhqA43pa%2BjhYqdyhn8qWcvuLcS4xh3P8Bxityj%2BtEtoKqERzfhneCe87d98gRvMMOyEGyzNTFJtf6RruS2aJ1Iytnt24baQn7su%2Bsoy3IHtj24tXXV34%2BLOXeDxa%2FcaTmh4Dl6toVtHNNsFl2%2BWXJWaRRi%2FACV&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20240616T073715Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY4XWF67OM%2F20240616%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=03101562c7aecb5c52b50f916b4a4c2760c34434975374340eef17416c65067d&hash=596da508b08ebb289ba66da535a9953789d70c4220ab055088fa7d98fed37b6c&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S1877705814033244&tid=spdf-d97df31f-2804-4d2a-b949-4bf9dd9a4275&sid=54a75233525a0241c1786f85707de48f4d8cgxrqb&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=0b085c5e535f5d5557&rr=8949222c980833ba&cc=in,,,,
41,110,180,0.2,0.58,truncated cone with constant angle,0.639,15,0.8,2000,1000,4.71,68.4,1,,,,,
41,110,180,0.2,0.58,truncated cone with constant angle,0.571,10,0.5,2000,1500,3.76,73.1,1,,,,,
41,110,180,0.2,0.58,truncated cone with constant angle,0.498,15,0.5,3500,1500,3.85,71.3,1,,,,,
41,110,180,0.2,0.58,truncated cone with constant angle,0.532,10,0.5,5000,1500,3.6,73,1,,,,,
41,110,180,0.2,0.58,truncated cone with constant angle,0.573,10,0.8,3500,1500,4.8,69.9,1,,,,,
41,110,180,0.2,0.58,truncated cone with constant angle,0.456,15,0.8,5000,1000,4.55,68.3,1,,,,,
41,110,180,0.2,0.58,truncated cone with constant angle,0.569,15,0.2,5000,2000,2.3,75.4,1,,,,,
41,110,180,0.2,0.58,truncated cone with constant angle,0.502,10,0.5,3500,1500,3.55,72.9,1,,,,,
41,110,180,0.2,0.58,truncated cone with constant angle,0.489,15,0.2,2000,1000,2.23,73.8,1,,,,,
41,110,180,0.2,0.58,truncated cone with constant angle,0.527,10,0.5,3500,1500,3.62,72.4,1,,,,,
41,110,180,0.2,0.58,truncated cone with constant angle,0.483,10,0.5,3500,1000,3.58,73.2,1,,,,,
41,110,180,0.2,0.58,truncated cone with constant angle,0.435,5,0.8,5000,1000,5.35,70.2,1,,,,,
41,110,180,0.2,0.58,truncated cone with constant angle,0.479,10,0.5,3500,1500,4.1,71.5,1,,,,,
41,110,180,0.2,0.58,truncated cone with constant angle,0.629,15,0.8,2000,2000,4.5,69.2,1,,,,,
41,110,180,0.2,0.58,truncated cone with constant angle,0.486,10,0.5,3500,1500,3.56,72.2,1,,,,,
41,110,180,0.2,0.58,truncated cone with constant angle,0.516,10,0.5,3500,1500,3.55,72.1,1,,,,,
41,110,180,0.2,0.58,truncated cone with constant angle,0.516,10,0.5,3500,1500,3.51,71.9,1,,,,,
41,110,180,0.2,0.58,truncated cone with constant angle,0.512,15,0.2,2000,2000,2.23,76.4,1,,,,,
41,110,180,0.2,0.58,truncated cone with constant angle,0.509,5,0.2,2000,2000,5.6,76.8,1,,,,,
41,110,180,0.2,0.58,truncated cone with constant angle,0.572,5,0.2,5000,2000,5.58,76.6,1,,,,,
41,110,180,0.2,0.58,truncated cone with constant angle,0.493,10,0.2,3500,1500,4.72,77.2,1,,,,,
41,110,180,0.2,0.58,truncated cone with constant angle,0.578,5,0.8,2000,1000,5.88,70.7,1,,,,,
41,110,180,0.2,0.58,truncated cone with constant angle,0.494,10,0.5,3500,1500,3.56,71.6,1,,,,,
41,110,180,0.2,0.58,truncated cone with constant angle,0.595,5,0.8,2000,2000,5.77,69.1,1,,,,,
41,110,180,0.2,0.58,truncated cone with constant angle,0.497,15,0.2,5000,1000,2.3,75.4,1,,,,,
41,110,180,0.2,0.58,truncated cone with constant angle,0.567,5,0.8,5000,2000,5.53,69.4,1,,,,,
41,110,180,0.2,0.58,truncated cone with constant angle,0.509,10,0.5,3500,2000,3.22,72.2,1,,,,,
41,110,180,0.2,0.58,truncated cone with constant angle,0.481,5,0.2,2000,1000,5.62,77.5,1,,,,,
41,110,180,0.2,0.58,truncated cone with constant angle,0.478,5,0.2,5000,1000,5.71,76.9,1,,,,,
41,110,180,0.2,0.58,truncated cone with constant angle,0.537,15,0.8,5000,2000,4.15,70.3,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,1,10,0.5,0,500,1.4,60,1,https://onlinelibrary.wiley.com/doi/epdf/10.1155/2020/7265941,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,1,10,0.5,0,500,1.45,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,1,10,0.5,0,500,1.4,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,1,10,1,0,500,1.75,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,1,10,1,0,500,2.1,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,1,10,1,0,500,2.2,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,1,10,0.5,0,1000,2.3,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,1,10,"0,5",0,1000,1.975,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,1,10,0.5,0,1000,1.475,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,1,10,1,0,1000,1.875,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,1,10,1,0,1000,2.025,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,1,10,1,0,1000,2.075,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,1,20,0.5,0,500,0.4,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,1,20,0.5,0,500,0.575,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,1,20,0.5,0,500,0.475,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,1,20,1,0,500,0.4,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,1,20,1,0,500,0.4,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,1,20,1,0,500,0.425,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,1,20,0.5,0,1000,0.425,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,1,20,0.5,0,1000,0.425,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,1,20,0.5,0,1000,0.425,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,1,20,1,0,1000,0.425,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,1,20,1,0,1000,0.4,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,1,20,1,0,1000,0.45,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,2,10,0.5,0,500,2.35,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,2,10,0.5,0,500,2.25,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,2,10,0.5,0,500,1.85,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,2,10,1,0,500,1.975,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,2,10,1,0,500,2.075,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,2,10,1,0,500,2.125,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,2,10,0.5,0,1000,2.5,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,2,10,0.5,0,1000,2.1,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,2,10,0.5,0,1000,1.825,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,2,10,1,0,1000,1.875,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,2,10,1,0,1000,2.3,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,2,10,1,0,1000,1.675,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,2,20,0.5,0,500,0.55,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,2,20,0.5,0,500,0.6,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,2,20,0.5,0,500,0.775,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,2,20,1,0,500,0.9,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,2,20,1,0,500,0.675,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,2,20,1,0,500,0.7,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,2,20,0.5,0,1000,0.525,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,2,20,0.5,0,1000,0.55,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,2,20,0.5,0,1000,0.475,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,2,20,1,0,1000,0.7,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,2,20,1,0,1000,0.65,60,1,,,,,
145,228,600,0.2,0.8,truncated cone with constant angle,2,20,1,0,1000,0.525,60,1,,,,,
